"frlemma";"F";"BOISSY_APOLOGIEDUSIECLE";"BOISSY_COMTEDENEUILLY";"BOISSY_DEHORSTROMPEURS";"BOISSY_MEDECINPAROCCASION";"BOISSY_PLAGIAIRE";"BOISSY_RIVALFAVORABLE";"BOISSY_VIEESTUNSONGE";"DANCOURT_ENFANTSDEPARIS";"DANCOURT_MADAMEARTUS";"DANCOURT_METEMPSYCHOSE";"DANCOURT_SANCHO";"DANCOURT_TRAHISONPUNIE";"DUFRESNY_COQUETTEDUVILLAGE";"DUFRESNY_FAUXSINCERE";"DUFRESNY_MARIAGEFAITETROMPU";"DUFRESNY_RECONCILIATIONNORMANDE";"NIVELLE_ECOLEDESAMIS";"NIVELLE_ECOLEMERES";"NIVELLE_FAUSSEANTIPATHIE";"NIVELLE_GOUVERNANTE";"NIVELLE_PREJUGEALAMODE";"REGNARD_DEMOCRITE";"REGNARD_DISTRAIT";"REGNARD_FOLIESAMOUREUSES";"REGNARD_JOUEUR";"REGNARD_LEGATAIRE";"REGNARD_MENECHMES";"VOLTAIRE_DEPOSITAIRE";"VOLTAIRE_DROITDUSEIGNEUR";"VOLTAIRE_ENFANTPRODIGUE";"VOLTAIRE_ENVIEUX";"VOLTAIRE_FEMMEQUIARAISON";"VOLTAIRE_NANINE"
"mort";81;0;5;0;8;0;1;2;1;2;1;6;4;0;1;3;0;1;0;2;7;1;3;2;3;3;11;4;2;1;4;0;3;0
"avoir";80;1;0;1;1;1;1;0;6;4;2;6;2;2;8;4;4;2;6;2;1;1;2;0;1;5;1;0;1;8;4;1;1;1
"gens";80;1;0;0;1;0;1;1;8;7;0;6;3;0;1;1;0;1;3;3;1;2;3;4;3;1;6;4;4;5;3;3;2;2
"bonheur";79;0;1;3;5;4;1;4;7;3;2;3;3;0;1;4;2;2;6;4;4;7;0;0;0;1;0;1;1;2;3;2;1;2
"quoi";79;0;1;0;0;0;1;0;7;4;1;1;7;0;2;3;3;6;7;3;4;6;6;0;1;1;2;0;2;1;3;2;1;4
"retour";78;0;6;2;3;0;4;0;1;1;3;1;2;1;4;1;1;7;5;3;4;5;0;6;1;5;0;7;0;1;3;0;0;1
"voilà";78;0;0;1;4;0;4;0;7;4;0;7;5;0;2;0;2;1;2;0;0;1;5;6;2;3;8;4;4;2;1;1;2;0
"âge";77;1;3;3;2;1;0;0;5;3;0;1;0;1;1;3;1;1;6;2;4;2;2;3;3;2;6;3;4;5;3;2;2;2
"content";77;0;1;0;4;3;1;0;5;4;7;2;1;3;2;3;2;4;5;0;3;2;1;0;0;5;4;4;3;3;1;2;1;1
"effet";77;0;1;2;2;1;1;1;3;8;4;2;6;0;2;0;1;3;2;0;4;4;0;2;3;3;6;1;7;2;0;2;3;1
"monde";75;0;2;6;2;1;1;0;4;3;1;0;0;0;2;1;0;3;5;4;5;1;2;2;3;2;1;4;5;3;3;3;3;3
"sœur";75;0;8;4;2;0;0;0;8;14;0;0;2;0;3;1;12;0;2;0;0;0;0;4;0;4;1;3;0;2;0;0;5;0
"ciel";74;1;0;0;2;1;1;3;5;4;4;1;8;0;2;0;2;2;2;0;2;2;3;1;3;1;6;3;2;2;6;2;1;2
"fou";74;2;0;1;3;1;0;0;5;2;0;3;1;3;0;1;4;0;3;2;1;4;3;6;5;6;2;6;2;1;3;1;2;1
"passer";74;1;0;3;1;0;1;0;1;4;3;7;7;0;2;3;2;6;3;1;4;4;1;0;4;0;4;1;2;4;2;0;0;3
"perdre";74;1;1;2;0;0;2;1;2;0;3;1;6;0;3;1;5;6;3;4;4;5;1;1;1;2;1;1;4;5;3;2;2;1
"contraire";73;1;1;3;4;1;2;3;4;4;2;1;3;2;6;0;1;7;2;0;2;3;3;1;5;1;5;1;2;2;0;0;1;0
"fortune";73;1;0;0;2;0;0;0;1;1;2;2;3;3;1;0;2;5;5;3;3;3;5;3;1;5;0;4;7;3;2;3;2;1
"peut-être";73;0;0;1;3;0;1;0;3;6;1;3;4;3;7;2;0;2;1;2;1;2;2;4;3;1;0;0;2;2;10;1;2;4
"taire";73;0;4;4;2;0;0;2;11;4;4;3;3;2;5;2;1;2;2;1;4;2;2;2;2;2;1;1;2;0;2;1;0;0
"jamais";72;1;1;3;4;1;0;2;3;1;1;4;1;1;1;4;1;1;2;4;3;3;1;2;1;3;6;3;2;3;2;1;1;5
"rire";72;4;0;2;2;0;3;3;3;1;2;0;1;3;3;1;3;0;1;5;2;2;7;7;2;6;0;2;4;1;2;0;0;0
"dessein";71;1;1;2;0;1;0;1;11;5;3;1;2;2;1;1;0;1;2;1;3;1;5;1;4;2;7;5;2;3;1;0;0;1
"mot";71;0;0;1;1;1;4;1;1;1;0;4;3;2;7;3;3;4;4;3;2;1;4;6;2;2;2;4;1;0;0;2;2;0
"promettre";71;0;2;3;3;1;1;0;6;4;1;5;2;1;0;1;1;1;5;0;4;1;1;2;2;4;3;1;3;8;3;0;1;1
"nom";70;0;3;1;2;4;0;0;3;0;0;0;1;0;12;2;1;0;7;5;4;0;3;1;0;0;1;4;3;9;0;2;0;2
